Step    Time(ps)    SystemEnergy(eV)    KineticEnergy(eV)    PotentialEnergy(eV)    Temperature(K)
0         0.000     -25.820059558337     13.401676466748     -39.221736025085     120.000039726877
2         0.020     -25.813555651133     13.185665229331     -38.999220880465     118.065852079848
4         0.040     -25.816186994133     12.875517697810     -38.691704691944     115.288758020305
6         0.060     -25.815627970126     12.662260114081     -38.477888084207     113.379226881936
8         0.080     -25.808370533478     12.569456344840     -38.377826878318     112.548252039103
10        0.100     -25.823154845649     12.785109839091     -38.608264684740     114.479236415684
12        0.120     -25.815388916910     12.811506996001     -38.626895912911     114.715599372647
14        0.140     -25.814263983799     12.745098713572     -38.559362697371     114.120972532532
16        0.160     -25.817535862328     12.806420963487     -38.623956825814     114.670058495333
18        0.180     -25.823349429306     12.915147864647     -38.738497293953     115.643610758812
20        0.200     -25.814034277654     12.711870419049     -38.525904696703     113.823442841171
22        0.220     -25.805247607083     12.678059855801     -38.483307462885     113.520699453583
24        0.240     -25.821174546234     12.970251529992     -38.791426076225     116.137014852460
26        0.260     -25.811366984444     12.872422461408     -38.683789445853     115.261042943604
28        0.280     -25.816352097742     12.877772235980     -38.694124333722     115.308945395412
30        0.300     -25.816629730352     12.890715808657     -38.707345539009     115.424843524971
32        0.320     -25.813196907730     12.801156153566     -38.614353061295     114.622916826060
34        0.340     -25.820932678219     12.764704163182     -38.585636841400     114.296521818311
36        0.360     -25.817316931936     12.807052035667     -38.624368967603     114.675709182907
38        0.380     -25.819459899750     12.900446520528     -38.719906420278     115.511973356374
40        0.400     -25.816324870235     12.805766198457     -38.622091068693     114.664195659461
42        0.420     -25.812656309218     12.649265350981     -38.461921660199     113.262870387875
44        0.440     -25.813550136360     12.797062538655     -38.610612675015     114.586262161763
46        0.460     -25.830323867431     13.104658048666     -38.934981916097     117.340505148655
48        0.480     -25.801105895402     12.805074701099     -38.606180596501     114.658003918396
50        0.500     -25.817851372371     12.851335398709     -38.669186771080     115.072227136273
52        0.520     -25.816378733792     12.948813681868     -38.765192415659     115.945058075042
54        0.540     -25.815583062496     13.032687434119     -38.848270496615     116.696072593804
56        0.560     -25.806987005147     13.056399158298     -38.863386163445     116.908389899816
58        0.580     -25.813600120692     13.120931523224     -38.934531643916     117.486219574626
60        0.600     -25.820484295761     12.996490372905     -38.816974668666     116.371960249019
62        0.620     -25.806978640149     12.642237570191     -38.449216210339     113.199942889507
64        0.640     -25.822928234297     12.831555876363     -38.654484110660     114.895119184658
66        0.660     -25.823183116249     12.917737488061     -38.740920604310     115.666798522919
68        0.680     -25.808177589357     12.760635328012     -38.568812917369     114.260089034458
70        0.700     -25.826028644849     13.009715604887     -38.835744249736     116.490380386014
72        0.720     -25.817620263956     12.893138394599     -38.710758658555     115.446535617750
74        0.740     -25.809108517722     12.662725749528     -38.471834267250     113.383396231370
76        0.760     -25.813063063844     12.864419659295     -38.677482723139     115.189385000368
78        0.780     -25.828061218544     13.138772132824     -38.966833351368     117.645966294830
80        0.800     -25.812873297214     12.915151276045     -38.728024573259     115.643641304831
82        0.820     -25.813903266286     12.731353175618     -38.545256441904     113.997893520390
84        0.840     -25.817942251579     12.664810461768     -38.482752713347     113.402062966999
86        0.860     -25.815450972749     12.791251576391     -38.606702549139     114.534230186189
88        0.880     -25.822940167406     13.013741262316     -38.836681429721     116.526426551775
90        0.900     -25.816708386922     12.885170051736     -38.701878438659     115.375186226317
92        0.920     -25.816383754727     12.871643227279     -38.688026982006     115.254065598141
94        0.940     -25.827292346300     13.001854474409     -38.829146820709     116.419990985708
96        0.960     -25.809008946236     12.876005289124     -38.685014235360     115.293123964910
98        0.980     -25.819651507613     13.045874367277     -38.865525874890     116.814149799052
100       1.000     -25.814730186759     13.064298906156     -38.879029092915     116.979125084261
